ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,246.24,262.2,20.66,4.13,Complex,0.94,SE
2,155.49,279.53,12.82,2.56,Simple,0.88,SW
3,166.02,238.09,9.69,1.94,Simple,0.88,SW
4,247.52,339.49,12.66,2.53,Simple,0.88,SE
5,153.26,391.57,8.42,1.68,Simple,0.88,SW
6,283.3,384.72,10.53,2.11,Simple,0.88,SE
7,249.86,409.48,15.3,3.06,Simple,0.87,SE
8,164.61,71.26,18.55,3.71,Simple,0.87,NW
9,156.05,378.06,10.75,2.15,Simple,0.86,SW
10,226.94,273.27,10.84,2.17,Simple,0.85,SE
11,273.21,165.49,10.34,2.07,Simple,0.85,NE
12,224.02,225.17,7.98,1.6,Simple,0.84,SE
13,181.5,197.29,10.32,2.06,Simple,0.83,NW
14,165.13,160.6,10.13,2.03,Simple,0.83,NW
15,215.54,188.93,10.14,2.03,Simple,0.83,NE
16,188.11,365.68,13.84,2.77,Simple,0.83,SW
17,262.28,167.62,10.48,2.1,Simple,0.82,NE
18,196.91,232.13,7.15,1.43,Simple,0.82,SW
19,132.65,315.27,9.45,1.89,Simple,0.81,SW
20,272.3,384.0,9.49,1.9,Simple,0.81,SE
21,148.23,319.72,9.92,1.98,Simple,0.8,SW
22,128.4,256.45,12.15,2.43,Simple,0.79,SW
23,210.67,398.01,6.99,1.4,Simple,0.79,SE
24,215.27,234.36,7.98,1.6,Simple,0.79,SE
25,177.97,372.08,13.83,2.77,Simple,0.78,SW
26,262.85,407.14,9.49,1.9,Simple,0.78,SE
27,265.91,185.74,9.8,1.96,Simple,0.78,NE
28,144.24,326.81,8.86,1.77,Simple/Overlapping,0.77,SW
29,142.86,162.6,9.36,1.87,Simple,0.76,NW
30,214.4,241.94,6.85,1.37,Simple,0.75,SE
31,272.72,359.81,6.44,1.29,Simple,0.74,SE
32,282.8,365.74,10.02,2.0,Simple,0.73,SE
33,148.07,411.9,7.45,1.49,Simple,0.73,SW
34,205.31,391.26,7.22,1.44,Simple,0.73,SW
35,133.72,156.88,8.56,1.71,Simple,0.73,NW
36,180.64,228.99,7.26,1.45,Simple,0.73,SW
37,138.06,181.9,8.07,1.61,Simple,0.71,NW
38,278.91,393.49,8.99,1.8,Simple,0.71,SE
39,134.27,12.49,8.85,1.77,Simple,0.67,NW
40,182.95,221.43,10.98,2.2,Simple/Overlapping,0.66,SW
41,237.25,156.1,13.43,2.69,Simple/Overlapping,0.65,NE
42,169.07,213.45,7.29,1.46,Simple,0.64,SW
43,132.5,403.35,11.91,2.38,Simple,0.64,SW
44,234.76,195.7,8.17,1.63,Simple,0.63,NE
45,131.31,245.47,14.09,2.82,Simple,0.62,SW
46,146.87,329.21,8.94,1.79,Simple/Overlapping,0.61,SW
47,187.32,17.15,15.81,3.16,Simple,0.61,NW
48,278.96,375.4,7.01,1.4,Simple,0.61,SE
49,198.13,171.36,9.95,1.99,Simple,0.61,NW
50,143.79,101.23,16.36,3.27,Simple/Overlapping,0.6,NW
51,155.25,143.15,5.98,1.2,Simple,0.59,NW
52,181.21,385.93,7.88,1.58,Simple,0.57,SW
53,281.96,410.37,8.63,1.73,Simple,0.57,SE
54,260.64,365.55,6.46,1.29,Simple,0.56,SE
55,277.78,348.51,6.23,1.25,Simple,0.55,SE
56,206.26,412.9,6.73,1.35,Simple,0.54,SW
57,219.62,245.53,6.37,1.27,Simple,0.53,SE
58,140.72,254.41,9.82,1.96,Simple,0.53,SW
59,133.22,76.55,10.37,2.07,Simple,0.52,NW
60,278.34,289.28,8.76,1.75,Simple,0.5,SE
61,202.76,263.97,6.37,1.27,Simple,0.5,SW
62,149.86,270.85,7.14,1.43,Simple,0.5,SW
63,182.28,219.43,9.63,1.93,Simple/Overlapping,0.49,SW
64,236.13,148.23,7.77,1.55,Simple/Overlapping,0.48,NE
65,216.42,368.34,6.37,1.27,Simple,0.47,SE
66,251.64,136.07,9.97,1.99,Simple,0.47,NE
67,200.6,281.15,6.27,1.25,Simple,0.47,SW
68,200.74,368.21,5.85,1.17,Simple,0.47,SW
69,147.32,370.32,5.74,1.15,Simple,0.46,SW
70,215.89,392.86,7.93,1.59,Simple,0.46,SE
71,287.54,337.24,15.62,3.12,Simple,0.45,SE
72,262.5,150.26,8.39,1.68,Simple,0.45,NE
73,157.61,293.43,6.45,1.29,Simple,0.44,SW
74,132.61,20.91,10.03,2.01,Simple,0.43,NW
75,238.92,409.46,6.86,1.37,Simple,0.42,SE
76,208.89,177.87,8.5,1.7,Simple,0.42,NE
77,201.04,190.47,7.99,1.6,Simple,0.4,NW
78,193.5,247.87,7.56,1.51,Simple,0.4,SW
79,143.49,361.67,9.21,1.84,Simple,0.39,SW
80,204.4,325.27,5.64,1.13,Simple,0.39,SW
81,133.9,94.06,11.53,2.31,Simple/Overlapping,0.38,NW
82,191.46,314.83,5.67,1.13,Simple,0.38,SW
83,157.27,398.15,5.7,1.14,Simple,0.38,SW
84,168.45,361.85,11.77,2.35,Simple,0.37,SW
85,216.44,202.04,6.11,1.22,Simple,0.37,NE
86,223.08,162.63,6.88,1.38,Simple,0.37,NE
87,137.65,151.74,5.33,1.07,Simple,0.37,NW
88,127.49,307.84,6.43,1.29,Simple,0.36,SW
89,162.98,252.01,7.13,1.43,Simple,0.36,SW
90,284.3,270.15,6.5,1.3,Simple,0.36,SE
91,130.2,347.46,6.01,1.2,Simple,0.35,SW
92,236.32,152.11,11.55,2.31,Simple/Overlapping,0.34,NE
93,273.51,298.77,7.24,1.45,Simple,0.34,SE
94,268.93,377.01,5.59,1.12,Simple,0.34,SE
95,156.34,198.39,5.85,1.17,Simple,0.33,NW
96,139.03,219.66,8.71,1.74,Simple,0.32,SW
97,238.42,92.64,19.88,3.98,Simple,0.32,NE
98,263.77,301.42,9.03,1.81,Simple,0.31,SE
99,180.76,392.41,6.59,1.32,Simple,0.31,SW
100,164.16,140.51,6.19,1.24,Simple,0.31,NW
101,279.8,221.69,6.17,1.23,Simple,0.3,SE
102,223.73,299.11,5.95,1.19,Simple,0.29,SE
103,262.17,244.36,9.92,1.98,Simple,0.28,SE
104,277.38,40.35,9.8,1.96,Simple,0.27,NE
105,260.41,397.77,8.91,1.78,Simple,0.27,SE
106,134.48,96.3,12.36,2.47,Simple/Overlapping,0.27,NW
107,257.46,306.91,10.98,2.2,Simple,0.26,SE
108,268.1,400.06,7.24,1.45,Simple,0.26,SE
109,175.54,143.17,6.02,1.2,Simple,0.26,NW
110,153.73,367.89,10.22,2.04,Simple,0.25,SW
111,242.18,401.22,7.08,1.42,Simple,0.25,SE
